Timestamp;EURAEDFIXMP=WM;EURBAMFIXMP=WM;EURCNYFIXMP=WM;EURILSFIXMP=WM;EURINRFIXMP=WM;EURJODFIXMP=WM;EURKESFIXMP=WM;EURKRWFIXMP=WM;EURKWDFIXMP=WM;EURMADFIXMP=WM;EURMDLFIXMP=WM;EURMKDFIXMP=WM;EURMXNFIXMP=WM;EURPHPFIXMP=WM;EURRSDFIXMP=WM;EURSARFIXMP=WM;EURTHBFIXMP=WM;EURTNDFIXMP=WM;EURTWDFIXMP=WM
2025-10-21 11:00:00;4,2669;;8,271;3,8229;102,1524;0,8236;150,13;1662,78;0,3559;10,6998;;61,6201;21,3986;67,6612;117,2018;4,3568;38,0689;3,4077;35,6154
2025-10-22 10:00:00;4,2588;;8,2614;3,8248;101,9527;0,8222;149,81;1659,97;0,3555;10,7151;;61,5957;21,3363;67,7313;117,2607;4,3494;38,1361;3,4066;35,6462
2025-10-22 11:00:00;4,2555;;8,2553;3,8203;101,8736;0,8216;149,69;1658,98;0,3553;10,7176;;61,5985;21,3197;67,6787;117,2439;4,346;38,1297;3,4051;35,6185
2025-10-23 10:00:00;4,2583;;8,2582;3,8348;101,8553;0,8217;149,8;1668,99;0,3555;10,7389;;61,5786;21,3559;67,964;117,2532;4,3482;38,029;3,4054;35,7009
2025-10-23 11:00:00;4,2566;;8,2565;3,8353;101,8157;0,8214;149,74;1669,4;0,3554;10,7336;;61,5859;21,3465;67,9376;117,2497;4,3464;38,0351;3,4045;35,6871
2025-10-24 10:00:00;4,2651;;8,2712;3,823;102,0058;0,8231;150,05;1671,43;0,3561;10,7246;;61,5936;21,3697;68,0917;117,2555;4,3547;38,0583;3,4099;35,7638
2025-10-24 11:00:00;4,2655;;8,2716;3,8204;102,0146;0,8231;150,06;1671,25;0,3561;10,7212;;61,5911;21,3637;68,0976;117,2589;4,3551;38,0523;3,4086;35,7669
2025-10-27 10:00:00;4,2746;;8,2695;3,7885;102,7013;0,8246;150,36;1666,62;0,3568;10,7414;;61,5914;21,4385;68,5286;117,2724;4,3645;38,0679;3,4127;35,7508
2025-10-27 11:00:00;4,2761;;8,2713;3,7931;102,7366;0,825;150,41;1667,04;0,3569;10,743;;61,5926;21,4357;68,5522;117,2772;4,366;38,0624;3,4131;35,7631
2025-10-28 10:00:00;4,2814;;8,2756;3,7987;102,882;0,8263;150,6;1673,62;0,3575;10,7572;;61,5935;21,4769;68,9179;117,2973;4,3713;37,8265;3,4131;35,6922
2025-10-28 11:00:00;4,2841;;8,2811;3,7971;102,9482;0,8269;150,7;1673,98;0,3577;10,7597;;61,5929;21,5058;68,9622;117,2914;4,3741;37,8345;3,4144;35,7152
2025-10-29 10:00:00;4,2764;;8,2666;3,7851;102,6922;0,8254;150,43;1659,01;0,3572;10,7459;;61,5921;21,471;68,4175;117,2493;4,3673;37,565;3,4135;35,6311
2025-10-29 11:00:00;4,2781;;8,2696;3,7867;102,7319;0,8258;150,49;1654,28;0,3574;10,7484;;61,594;21,4714;68,4441;117,2568;4,369;37,5853;3,4142;35,6448
2025-10-30 10:00:00;4,2668;;8,2603;3,7753;103,0491;0,8234;150,09;1659,22;0,3563;10,7398;;61,5804;21,4978;68,4276;117,2492;4,3569;37,6089;3,4124;35,6688
2025-10-30 11:00:00;4,2636;;8,256;3,7745;102,9692;0,8228;150,03;1660,48;0,3561;10,7449;;61,5958;21,4767;68,3746;117,2497;4,3536;37,6436;3,4118;35,6412
2025-10-31 10:00:00;4,2506;;8,2323;3,7524;102,7385;0,8203;149,52;1651,61;0,3552;10,7227;;61,5932;21,4627;68,0166;117,269;4,3402;37,4225;3,4081;35,5708
2025-10-31 11:00:00;4,25;;8,2315;3,7566;102,7207;0,8204;149,5;1651,55;0,3551;10,7195;;61,5946;21,4801;68,0048;117,2636;4,3395;37,3801;3,4075;35,5646
2025-11-03 10:00:00;4,2295;;8,2006;3,746;102,2439;0,8162;148,88;1646,34;0,3537;10,7301;;61,5806;21,3296;67,6949;117,2187;4,3188;37,4208;3,4034;35,5
