Timestamp;EURAED=R;EURBAM=R;EURCNY=;EURILS=TRB;EURINR=;EURJOD=R;EURKES=;EURKRW=R;EURKWD=R;EURMAD=;EURMDL=R;EURMKD=R;EURMXN=TRB;EURPHP=R;EURRSD=R;EURSAR=R;EURTHB=;EURTNDX=R;EURTWD=R
2025-10-17 11:00:00+00:00;4,29365;1,96085;8,33005;3,8806;;0,82885;150,98;1663,225;0,3572;10,69045;19,715;61,64;21,6307;68,022;117,165;4,3843;38,239;3,4143;35,8649
2025-10-20 10:00:00+00:00;4,28345;1,96065;8,30675;3,8583;102,544;0,82685;150,615;1659,085;0,35685;10,73005;19,79;61,635;21,465;67,844;117,195;4,37395;38,1405;3,41215;35,70325
2025-10-20 11:00:00+00:00;4,2798;1,9607;8,299;3,8593;102,431;0,82615;150,495;1657,285;0,3566;10,72215;19,77;61,64;21,4407;67,762;117,195;4,3702;38,1345;3,4112;35,6761
2025-10-21 10:00:00+00:00;4,2686;1,96075;8,27245;3,8259;102,2468;0,824;150,09;1661,805;0,35595;10,7028;19,73;61,64;21,4121;67,7525;117,2;4,3585;38,0646;3,4095;35,62105
2025-10-21 11:00:00+00:00;4,2671;1,96075;8,27155;3,8234;;0,8237;150,1;1662,755;0,3559;10,6981;19,725;61,635;21,3964;67,717;117,2;4,357;38,06765;3,40895;35,61925
2025-10-22 10:00:00+00:00;4,2585;1,96075;8,26045;3,8249;101,7436;0,822;149,795;1659,67;0,3554;10,7125;19,765;61,55;21,3336;67,8375;117,23;4,3482;38,1215;3,4073;35,65155
2025-10-22 11:00:00+00:00;4,2559;1,9608;8,2561;3,8205;101,6974;0,82155;149,655;1659,525;0,35525;10,7162;19,755;61,64;21,3212;67,735;117,225;4,3458;38,1295;3,40675;35,6269
2025-10-23 10:00:00+00:00;4,25775;1,96055;8,25755;3,8338;101,8334;0,82185;150,125;1668,735;0,3554;10,73895;19,67;61,61;21,3551;67,9555;117,23;4,3477;38,0275;3,404;35,7161
2025-10-23 11:00:00+00:00;4,2561;1,9609;8,2549;3,8347;101,8332;0,82155;149,705;1669,35;0,35525;10,7266;19,665;61,585;21,3433;67,904;117,225;4,346;38,0245;3,40755;35,73815
2025-10-24 10:00:00+00:00;4,2649;1,9607;8,27085;3,8233;;0,8233;150,02;1671,245;0,35605;10,72525;19,88;61,715;21,3692;68,083;117,245;4,3544;38,05665;3,41085;35,80405
2025-10-24 11:00:00+00:00;4,2651;1,96075;8,27015;3,8202;101,9519;0,8233;149,96;1671,12;0,3561;10,7105;19,88;61,72;21,3623;68,085;117,26;4,3546;38,0465;3,4111;35,8068
2025-10-27 10:00:00+00:00;4,2741;1,96065;8,2698;3,7882;102,6872;0,825;150,35;1667,16;0,3568;10,7343;19,835;61,635;21,435;68,541;117,18;4,3638;38,07045;3,4066;35,7008
2025-10-27 11:00:00+00:00;4,2759;1,96075;8,27185;3,7932;102,7022;0,8254;150,41;1666,9;0,3569;10,7357;19,845;61,64;21,436;68,563;117,18;4,3657;38,05315;3,4051;35,7243
2025-10-28 10:00:00+00:00;4,2816;1,96065;8,2773;3,7986;102,8985;0,82645;150,605;1674,585;0,3573;10,7507;19,805;61,645;21,4755;68,971;117,24;4,3715;37,82115;3,39035;35,66695
2025-10-28 11:00:00+00:00;4,2842;1,96075;8,28095;3,7973;;0,82695;150,645;1674,065;0,35775;10,75315;19,815;61,645;21,5063;69,0205;117,24;4,3741;37,8365;3,42045;35,68955
2025-10-29 10:00:00+00:00;4,27615;1,9607;8,266;3,7842;102,6737;0,82545;150,415;1659,375;0,3571;10,74345;19,785;61,64;21,4669;68,2005;117,22;4,3659;37,56875;3,41405;35,60355
2025-10-29 11:00:00+00:00;4,27785;1,96075;8,27105;3,7871;;0,82585;150,435;1654,425;0,3573;10,74705;19,795;61,635;21,4729;68,2665;117,24;4,3682;37,5925;3,4216;35,63005
2025-10-30 10:00:00+00:00;4,26645;1,96075;8,2603;3,776;103,0375;0,82365;150,435;1659,13;0,356;10,7396;19,72;61,53;21,5022;68,4355;117,22;4,3567;37,6055;3,415;35,6665
2025-10-30 11:00:00+00:00;4,2623;1,96065;8,253;3,7735;102,972;0,8228;150,28;1660,045;0,3557;10,72685;19,7;61,465;21,4761;68,378;117,22;4,352;37,6421;3,414;35,63855
2025-10-31 10:00:00+00:00;4,25145;1,96065;8,2346;3,7517;102,7447;0,82065;149,545;1651,68;0,3549;10,72265;19,705;61,305;21,4641;67,9625;117,21;4,341;37,4294;3,41115;35,5665
2025-10-31 11:00:00+00:00;4,24995;1,96065;8,2309;3,7569;;0,8204;149,565;1652,51;0,3551;10,71675;19,7;61,285;21,4799;67,9185;117,21;4,3395;37,3801;3,4109;35,56115
2025-11-03 10:00:00+00:00;4,2298;1,96085;8,20195;3,7425;102,2371;0,8165;149,13;1645,675;0,35375;10,7092;19,61;61,645;21,3419;67,7535;117,22;4,3191;37,385;3,40445;35,54185
2025-11-03 11:00:00+00:00;4,2287;1,96075;8,20075;3,7464;102,2218;0,8164;149,11;1646,205;0,35365;10,7254;19,6;61,545;21,3286;67,7655;117,215;4,3185;37,416;3,37875;35,57405
2025-11-04 10:00:00+00:00;4,2243;1,96105;8,19365;3,7654;;0,8154;148,595;1654,985;0,3535;10,7041;19,635;61,455;21,443;67,345;117,215;4,31345;37,4375;3,40285;35,5197
2025-11-04 11:00:00+00:00;4,226;1,9608;8,1974;3,7559;102,0426;0,81575;148,65;1654,145;0,35355;10,7081;19,64;61,55;21,411;67,3875;117,21;4,3151;37,4215;3,4034;35,5152
