Timestamp;EURUSDFIXMP=WM;EURCHFFIXMP=WM;EURJPYFIXMP=WM;EURGBPFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM
2025-12-03 11:00:00;1,16605;0,93375;181,3266;0,8779;24,1325;380,75
2025-12-04 10:00:00;1,16795;0,93395;180,82785;0,87505;24,1895;381,65
2025-12-04 11:00:00;1,16665;0,9341;180,5624;0,87425;24,196;382,275
2025-12-05 10:00:00;1,16545;0,93545;180,55155;0,87315;24,19;382,075
2025-12-05 11:00:00;1,16505;0,9355;180,76335;0,87355;24,199;382,05
2025-12-08 10:00:00;1,1649;0,9369;181,1245;0,8747;24,236;382,575
2025-12-08 11:00:00;1,1651;0,937;181,19055;0,8748;24,2395;382,575
2025-12-09 10:00:00;1,16535;0,9389;181,88785;0,8731;24,2645;383,45
2025-12-09 11:00:00;1,16445;0,93905;181,7648;0,8732;24,265;383,65
2025-12-10 10:00:00;1,16355;0,93705;182,4912;0,874;24,2505;383,8
2025-12-10 11:00:00;1,1635;0,93715;182,3961;0,874;24,2505;383,7
2025-12-11 10:00:00;1,1702;0,93395;182,39325;0,8751;24,221;381,75
2025-12-11 11:00:00;1,17075;0,93335;182,47895;0,875;24,2185;381,175
2025-12-12 10:00:00;1,1732;0,93265;182,88425;0,8766;24,2355;383,9
2025-12-12 11:00:00;1,1727;0,93295;182,84735;0,8768;24,2335;384,075
2025-12-15 10:00:00;1,17435;0,935;181,9949;0,87715;24,287;385,125
2025-12-15 11:00:00;1,17425;0,93485;182,0968;0,87765;24,285;385,175
2025-12-16 10:00:00;1,17565;0,93565;182,04355;0,87665;24,33;384,95
2025-12-16 11:00:00;1,17575;0,93605;182,08255;0,876;24,3315;384,725
2025-12-17 10:00:00;1,17165;0,93485;182,22085;0,87925;24,344;387,025
2025-12-17 11:00:00;1,17255;0,9341;182,29635;0,87925;24,372;386,7
2025-12-18 10:00:00;1,1722;0,93375;182,76355;0,87815;24,408;390,0
2025-12-18 11:00:00;1,17245;0,9323;182,7498;0,8781;24,402;389,1
2025-12-19 10:00:00;1,17125;0,93125;184,1088;0,8752;24,3655;387,275
2025-12-19 11:00:00;1,17165;0,93135;184,32985;0,87565;24,3405;386,675
2025-12-22 10:00:00;1,17305;0,9307;184,6967;0,87375;24,3335;387,2
2025-12-22 11:00:00;1,1731;0,93065;184,6459;0,8732;24,339;387,4
2025-12-23 10:00:00;1,1793;0,92985;183,9708;0,8732;24,344;391,125
2025-12-23 11:00:00;1,1799;0,92915;183,9641;0,8731;24,3585;391,1
2025-12-24 10:00:00;1,18;0,9278;183,8853;0,87265;24,283;389,775
2025-12-24 11:00:00;1,17955;0,92815;183,939;0,8727;24,2695;389,275
2025-12-29 10:00:00;1,17765;0,9286;184,0667;0,87295;24,2545;387,375
2025-12-29 11:00:00;1,1765;0,92945;183,88695;0,87145;24,241;387,575
2025-12-30 10:00:00;1,177;0,9283;183,51195;0,8708;24,2425;386,4
2025-12-30 11:00:00;1,1774;0,92805;183,5096;0,8708;24,2565;386,175
2025-12-31 10:00:00;1,17365;0,9311;183,8464;0,8734;24,205;385,35
